0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
1, R0,10,11,11,10,11,10,11,8,11,
2, 10,10,11,11,10,11,10,11,8,11,
3, 10,10,11,11,10,11,10,11,8,11,
4, 10,10,11,11,10,11,10,11,8,11,
5, 10,10,11,11,10,11,10,11,8,11,
6, 10,10,11,11,10,11,10,11,8,11,
7, 10,10,11,11,10,11,10,11,8,11,
8, 10,10,11,11,10,11,10,11,8,11,
9, 10,10,11,11,10,11,10,11,8,11,
10, 10,10,11,11,10,11,10,11,8,11,
11, 10,10,11,11,10,11,10,11,8,11,
12, 10,10,11,11,10,11,10,11,8,11,
13, 10,10,11,11,10,11,10,11,8,11,
14, 10,10,11,11,10,11,10,11,8,11,
15, 10,10,11,11,10,11,10,11,8,11,
16, 10,10,11,11,10,11,10,11,8,11,
17, 10,10,11,11,10,11,10,11,8,11,
18, 10,10,11,11,10,11,10,11,8,11,
19, 10,10,11,11,10,11,10,11,8,11,
20, 10,10,11,11,10,11,10,11,8,11,
21, 10,10,11,11,10,11,10,11,8,11,
22, 10,10,11,11,10,11,10,11,8,11,
23, 10,10,11,11,10,11,10,11,8,11,
24, 10,10,11,11,10,11,10,11,8,11,
25, 10,10,11,11,10,11,10,11,8,11,
26, 10,10,11,11,10,11,10,11,8,11,
27, 10,10,11,11,10,11,10,11,8,11,
28, 10,10,11,11,10,11,10,11,8,11,
29, 10,10,11,11,10,11,10,11,8,11,
30, 10,10,11,11,10,11,10,11,8,11,
31, 10,10,11,11,10,11,10,11,8,11,
32, 10,10,11,11,10,11,10,11,8,11,
33, 10,10,11,11,10,11,10,11,8,11,
34, 10,10,11,11,10,11,10,11,8,11,
35, 10,10,11,11,10,11,10,11,8,11,
36, 10,8,11,9,10,9,10,10,8,10,
37, 10,8,11,9,10,9,10,10,8,10,
38, 10,8,11,9,10,9,10,10,8,10,
39, 10,8,11,9,10,9,10,10,8,10,
40, 10,8,11,9,10,9,10,10,8,10,
41, 10,8,11,9,10,9,10,10,8,10,
42, 10,8,11,9,10,9,10,10,8,10,
43, 10,8,11,9,10,9,10,10,8,10,
44, 10,8,11,9,10,9,10,10,8,10,
45, 10,8,11,9,10,9,10,10,8,10,
46, 10,8,11,9,10,9,10,10,8,10,
47, 10,8,11,9,10,9,10,10,8,10,
48, 10,8,11,9,10,9,10,10,8,10,
49, 10,8,11,9,11,9,10,10,8,10,
50, 10,8,11,9,11,9,10,10,8,10,
51, 10,8,11,9,11,9,10,10,8,10,
52, 10,8,11,9,11,9,10,10,8,10,
53, 10,8,11,9,11,9,10,10,8,10,
54, 10,8,11,9,11,9,10,10,8,10,
55, 10,8,11,9,11,9,10,10,8,10,
56, 10,8,11,9,11,9,10,10,8,10,
57, 10,8,11,9,11,9,10,10,8,10,
58, 10,8,11,9,11,9,10,10,8,10,
59, 10,8,11,9,11,9,10,10,8,10,
60, 10,8,11,9,11,9,10,10,8,10,
61, 10,8,11,9,11,9,10,10,8,10,
62, 10,8,11,9,11,9,10,10,8,10,
63, 10,8,11,9,11,9,10,10,8,10,
64, 10,8,11,9,11,9,10,10,8,10,
65, 10,8,11,9,11,9,10,10,8,10,
66, 10,8,11,9,11,9,10,10,8,10,
67, 10,8,11,9,11,9,10,10,8,10,
68, 10,8,11,9,11,9,11,10,8,10,
69, 9,8,11,9,11,9,11,10,8,10,
70, 9,8,11,9,11,9,11,10,8,10,
71, 9,8,11,9,11,9,11,10,8,10,
72, 9,8,11,9,11,9,11,10,8,10,
73, 9,8,11,9,11,9,11,10,8,10,
74, 9,8,11,9,11,9,11,10,8,10,
75, 9,8,11,9,11,9,11,10,8,10,
76, 9,8,11,9,11,9,11,10,8,10,
77, 9,8,11,9,11,9,11,10,8,10,
78, 9,8,11,9,11,9,11,10,8,10,
79, 9,8,11,9,11,9,11,10,8,10,
80, 9,8,11,9,11,9,11,10,8,10,
81, 9,8,11,9,11,9,11,10,8,10,
82, 9,8,11,9,11,9,11,10,8,10,
83, 9,8,11,9,11,9,11,10,8,10,
84, 9,8,11,9,11,9,11,10,8,10,
85, 9,8,11,9,11,9,11,10,8,10,
86, 9,8,11,9,11,9,11,10,8,10,
87, 9,8,11,9,11,9,11,10,8,10,
88, 9,8,11,9,11,9,11,10,8,10,
89, 9,8,11,9,11,9,11,10,8,10,
90, 9,8,11,9,11,9,11,10,8,10,
91, 9,8,11,9,11,9,11,10,11,10,
92, 9,8,11,9,11,9,11,10,11,10,
93, 9,8,11,9,11,9,11,10,11,10,
94, 9,8,11,9,11,9,11,10,11,10,
95, 9,8,11,9,11,9,11,10,11,10,
96, 9,8,11,9,11,9,11,10,11,10,
97, 9,8,11,9,11,9,11,10,11,10,
98, 9,8,11,9,11,9,11,10,11,10,
99, 9,8,10,9,11,9,11,10,11,10,
100, 9,8,10,9,11,9,11,10,11,10,
101, 9,8,10,9,11,9,11,10,11,10,
102, 9,8,10,9,11,9,11,10,11,10,
103, 9,8,10,9,11,9,11,10,11,10,
104, 9,8,10,9,11,9,11,10,11,10,
105, 9,8,10,9,11,9,11,10,11,10,
106, 9,8,10,9,11,9,11,10,11,10,
107, 9,8,10,9,11,9,11,10,11,10,
108, 9,8,10,9,11,9,11,10,11,10,
109, 9,8,10,9,11,9,11,10,11,10,
110, 9,8,10,9,11,9,11,10,11,10,
111, 10,8,10,9,11,9,11,10,11,10,
112, 10,8,10,9,11,9,11,10,11,10,
113, 10,8,10,9,11,9,11,10,11,10,
114, 10,8,10,9,11,9,11,10,11,10,
115, 10,8,10,9,11,9,11,10,11,10,
116, 10,8,10,9,11,9,11,10,11,10,
117, 10,8,10,9,11,9,11,10,11,10,
118, 10,8,10,9,11,9,11,10,11,10,
119, 10,8,10,9,11,9,11,10,11,10,
120, 10,8,10,9,11,9,11,10,11,10,
