0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
1, R0,9,10,8,9,7,5,7,7,5,
2, 4,9,10,8,9,7,5,7,7,5,
3, 4,9,10,8,9,7,5,7,7,5,
4, 4,9,10,8,9,7,5,7,7,5,
5, 4,9,10,8,9,7,5,7,7,5,
6, 4,9,10,8,9,7,5,7,7,5,
7, 4,9,10,8,9,7,5,7,7,5,
8, 4,9,10,8,9,7,5,7,7,5,
9, 4,9,10,8,9,7,5,7,7,5,
10, 4,9,10,8,9,7,5,7,7,5,
11, 4,9,10,8,9,7,5,7,7,5,
12, 4,9,10,8,9,7,5,7,7,5,
13, 4,9,10,8,9,7,5,7,7,5,
14, 4,9,10,8,9,7,5,7,7,5,
15, 4,9,10,8,9,7,5,7,7,5,
16, 4,9,10,8,9,7,5,7,7,5,
17, 4,9,10,8,9,7,5,7,7,5,
18, 4,9,10,8,9,7,5,7,7,5,
19, 4,9,10,8,9,7,5,7,7,5,
20, 4,9,10,8,9,7,5,7,7,5,
21, 4,9,10,8,9,7,5,7,7,5,
22, 4,9,10,8,9,7,5,7,7,5,
23, 4,9,10,8,9,7,5,7,7,5,
24, 4,9,10,8,9,7,5,7,7,5,
25, 4,9,10,8,9,7,5,7,7,5,
26, 4,9,10,8,9,7,5,7,7,5,
27, 4,9,10,8,9,7,5,7,7,5,
28, 4,9,10,8,9,7,5,7,7,5,
29, 4,9,10,8,9,7,5,7,7,5,
30, 4,9,10,8,9,7,5,7,7,5,
31, 4,9,10,8,9,7,5,7,7,5,
32, 4,9,10,8,9,7,5,7,7,5,
33, 4,9,10,8,9,7,5,7,7,5,
34, 4,9,10,8,9,7,5,7,7,5,
35, 4,9,10,8,9,7,5,7,7,5,
36, 4,9,5,8,9,7,5,7,7,5,
37, 4,9,5,8,9,7,5,7,7,5,
38, 4,9,5,8,9,7,5,7,7,5,
39, 4,9,5,8,9,7,5,7,7,5,
40, 4,9,5,8,9,7,5,7,7,5,
41, 4,9,5,8,9,7,5,7,7,5,
