0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
1, R0,8,9,9,10,9,10,10,9,5,
2, 6,8,9,9,10,9,10,10,9,5,
3, 6,8,9,9,10,9,10,10,9,5,
4, 6,8,9,9,10,9,10,10,9,5,
5, 6,8,9,9,10,9,10,10,9,5,
6, 6,8,9,9,10,9,10,10,9,5,
7, 6,8,9,9,10,9,10,10,9,5,
8, 6,8,9,9,10,9,10,10,9,5,
9, 6,8,9,9,10,9,10,10,9,5,
10, 6,8,9,9,10,9,10,10,9,5,
11, 6,8,9,9,10,9,10,10,9,5,
12, 6,8,9,9,10,9,10,10,9,5,
13, 6,8,9,9,10,9,10,10,9,5,
14, 6,8,9,9,10,9,10,10,9,5,
15, 6,8,9,9,10,9,10,10,9,5,
16, 6,8,9,9,10,9,10,10,9,5,
17, 6,8,9,9,10,9,10,10,9,5,
18, 6,8,9,9,10,9,10,10,9,5,
19, 6,8,9,9,10,9,10,10,9,5,
20, 6,8,9,9,10,9,10,10,9,5,
21, 6,8,9,9,10,9,10,10,9,5,
22, 6,8,9,9,10,9,10,10,9,5,
23, 6,8,9,9,10,9,10,10,9,5,
24, 6,8,9,9,10,9,10,10,9,5,
25, 6,8,9,9,10,9,10,10,9,5,
26, 6,8,9,9,10,9,10,10,9,5,
27, 6,8,9,9,10,9,10,10,9,5,
28, 6,8,9,9,10,9,10,10,9,5,
29, 6,8,9,9,10,9,10,10,9,5,
30, 6,8,9,9,10,9,10,10,9,5,
31, 6,8,9,9,10,9,10,10,9,5,
32, 6,8,9,9,10,9,10,10,9,5,
33, 6,8,9,9,10,9,10,10,9,5,
34, 6,8,9,9,10,9,10,10,9,5,
35, 6,8,9,9,10,9,10,10,9,5,
36, 6,8,9,9,10,9,10,8,9,5,
37, 6,8,9,9,10,9,10,8,9,5,
38, 6,8,9,9,10,9,10,8,9,5,
39, 6,8,9,9,10,9,10,8,9,5,
40, 6,8,9,9,10,9,10,8,9,5,
41, 6,8,9,9,10,9,10,8,9,5,
42, 6,8,9,9,10,9,10,8,9,5,
43, 6,8,9,9,10,9,10,8,9,5,
44, 6,8,9,9,10,9,10,8,9,5,
45, 6,8,9,9,10,9,10,8,9,5,
46, 6,8,9,9,10,9,10,8,9,5,
47, 6,8,9,9,10,9,10,8,9,5,
48, 6,8,6,9,10,7,10,8,9,9,
49, 6,8,6,9,10,7,10,8,9,9,
50, 6,8,6,9,10,7,10,8,9,9,
51, 6,8,6,9,10,7,10,8,9,9,
52, 6,8,6,9,10,7,10,8,9,9,
53, 6,8,6,9,10,7,10,8,9,9,
54, 6,8,6,9,10,7,10,8,9,9,
55, 6,8,6,9,10,7,10,8,9,9,
56, 6,8,6,9,10,7,10,8,9,9,
57, 6,8,6,9,10,7,10,8,9,9,
58, 6,8,6,9,10,7,10,8,9,9,
59, 6,8,6,9,10,7,10,8,9,9,
60, 6,8,6,9,10,7,10,8,9,9,
61, 6,8,6,9,10,7,10,8,9,9,
62, 6,8,6,9,10,7,10,8,9,9,
63, 6,8,6,9,10,7,10,8,9,9,
64, 6,8,6,9,10,7,10,8,9,9,
65, 6,8,6,9,10,7,10,8,9,9,
66, 6,8,6,9,10,7,10,8,9,9,
67, 6,8,6,9,10,7,10,8,9,9,
68, 6,8,6,9,10,7,6,8,9,9,
69, 6,8,6,9,10,7,6,8,9,9,
70, 6,8,6,9,10,7,6,8,9,9,
71, 6,8,6,9,10,7,6,8,9,9,
72, 6,8,6,9,10,7,6,8,9,9,
73, 6,8,6,9,10,7,6,8,9,9,
74, 6,8,6,9,10,7,6,8,9,9,
75, 6,8,6,9,10,7,6,8,9,9,
76, 6,8,6,9,10,7,6,8,9,9,
77, 6,8,6,9,10,7,6,8,9,9,
78, 6,8,6,9,10,7,6,8,9,9,
79, 6,8,6,9,10,7,6,8,9,9,
80, 6,8,6,9,10,7,6,8,9,9,
81, 6,8,6,9,10,7,6,8,9,9,
82, 6,8,6,9,10,7,6,8,9,9,
83, 6,8,6,9,10,7,6,8,9,9,
84, 6,8,6,9,10,7,6,8,9,9,
85, 6,8,6,9,10,7,6,8,9,9,
86, 6,8,6,9,10,7,6,8,9,9,
87, 6,8,6,9,10,7,6,8,9,9,
88, 6,8,6,9,10,7,6,8,9,9,
89, 6,8,6,9,10,7,6,8,9,9,
90, 6,8,6,9,10,7,6,8,9,9,
91, 6,9,6,9,10,7,6,8,9,9,
92, 9,9,6,9,10,7,6,8,9,9,
93, 9,9,6,9,10,7,6,8,9,9,
94, 9,9,6,9,10,7,6,8,9,9,
95, 9,9,6,9,10,7,6,8,9,9,
96, 9,9,6,9,10,7,6,8,9,9,
97, 9,9,6,9,10,7,6,8,9,9,
98, 9,9,6,9,10,7,6,8,9,9,
99, 9,9,6,9,9,7,6,8,9,9,
100, 9,9,6,9,9,7,6,8,9,9,
101, 9,9,6,9,9,7,6,8,9,9,
102, 9,9,6,9,9,7,6,8,9,9,
103, 9,9,6,9,9,7,6,8,9,9,
104, 9,9,6,9,9,7,6,8,9,9,
105, 9,9,6,9,9,7,6,8,9,9,
106, 9,9,6,9,9,7,6,8,9,9,
107, 9,9,6,9,9,7,6,8,9,9,
108, 9,9,6,9,9,7,6,8,9,9,
109, 9,9,6,9,9,7,6,8,9,9,
110, 9,9,6,9,9,7,6,8,9,9,
111, 9,9,6,9,9,7,6,8,9,9,
112, 9,9,6,9,9,7,6,8,9,9,
113, 9,9,6,9,9,7,6,8,9,9,
114, 9,9,6,9,9,7,6,8,9,9,
115, 9,9,6,9,9,7,6,8,9,9,
116, 9,9,6,9,9,7,6,8,9,9,
117, 9,9,6,9,9,7,6,8,9,9,
118, 9,9,6,9,9,7,6,8,10,9,
119, 9,9,6,9,9,7,6,8,10,9,
120, 9,9,6,9,9,7,6,8,10,9,
121, 9,9,6,9,9,7,6,8,10,9,
122, 9,9,6,9,9,7,6,8,10,9,
123, 9,9,6,9,9,7,6,8,10,9,
124, 9,9,6,9,9,7,6,8,10,9,
125, 9,9,6,9,9,7,6,8,10,9,
126, 9,9,6,9,9,7,6,8,10,9,
127, 9,9,6,9,9,7,6,8,10,9,
128, 9,9,6,9,9,7,6,8,10,9,
129, 9,9,6,9,9,7,6,8,10,9,
130, 9,9,6,9,9,7,6,8,10,9,
131, 9,9,6,9,9,7,6,8,10,9,
132, 9,9,6,9,9,7,6,8,10,9,
133, 9,9,6,9,9,7,6,8,10,9,
134, 9,9,9,8,9,9,6,8,10,7,
135, 8,9,9,8,9,9,6,8,10,7,
136, 8,9,9,8,9,9,6,8,10,7,
137, 8,9,9,8,9,9,6,8,10,7,
138, 8,9,9,8,9,9,6,8,10,7,
139, 8,9,9,8,9,9,6,8,10,7,
140, 8,9,9,8,9,9,6,8,10,7,
141, 8,9,9,8,9,9,6,8,10,7,
142, 8,9,9,8,9,9,6,8,10,7,
143, 8,9,9,8,9,9,6,8,10,7,
144, 8,9,9,8,9,9,6,8,10,7,
145, 8,9,9,8,9,9,6,8,10,7,
146, 8,9,9,8,9,9,6,8,10,7,
147, 8,9,9,8,9,9,6,8,10,7,
148, 8,9,9,8,9,9,6,8,10,7,
149, 8,9,9,8,9,9,6,8,10,7,
150, 8,9,9,8,9,9,6,8,10,7,
151, 8,9,9,8,9,9,6,8,10,7,
152, 8,9,9,8,9,9,6,8,10,7,
153, 8,9,9,8,9,9,6,8,10,7,
154, 8,9,9,8,9,9,6,8,10,7,
155, 8,9,9,8,9,9,6,8,10,7,
156, 8,9,9,8,9,9,6,8,10,7,
157, 8,9,9,8,9,9,6,8,10,7,
158, 8,9,9,8,9,9,6,8,10,7,
159, 8,9,9,8,9,9,6,8,10,7,
