0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
1, R0,64,64,64,64,64,64,64,64,64,
2, 63,64,64,64,64,64,64,64,64,64,
3, 63,64,64,64,64,64,64,64,64,64,
4, 63,64,64,64,64,64,64,64,64,64,
5, 63,64,64,64,64,64,64,64,64,64,
6, 63,64,64,64,64,64,64,64,64,64,
7, 63,64,64,64,64,64,64,64,64,64,
8, 63,64,64,64,64,64,64,64,64,64,
9, 63,64,64,64,64,64,64,64,64,64,
10, 63,64,64,64,64,64,64,64,64,64,
11, 63,64,64,64,64,64,64,64,64,64,
12, 63,64,64,64,64,64,64,64,64,64,
13, 63,64,64,64,64,64,64,64,64,64,
14, 63,64,64,64,64,64,64,64,64,64,
15, 63,64,64,64,64,64,64,64,64,64,
16, 63,64,64,64,64,64,64,64,64,64,
17, 63,64,64,64,64,64,64,64,64,64,
18, 63,64,64,64,64,64,64,64,64,64,
19, 63,64,64,64,64,64,64,64,64,64,
20, 63,64,64,64,64,64,64,64,64,64,
21, 63,64,64,64,64,64,64,64,64,64,
22, 63,64,64,64,64,64,64,64,64,64,
23, 63,64,64,64,64,64,64,64,64,64,
24, 63,64,64,64,64,64,64,64,64,64,
25, 63,64,64,64,64,64,64,64,64,64,
26, 63,64,64,64,64,64,64,64,64,64,
27, 63,64,64,64,64,64,64,64,64,64,
28, 63,64,64,64,64,64,64,64,64,64,
29, 63,64,64,64,64,64,64,64,64,64,
30, 63,64,64,64,64,64,64,64,64,64,
31, 63,64,64,64,64,64,64,64,64,64,
32, 63,64,64,64,64,64,64,64,64,64,
33, 63,64,64,64,64,64,64,64,64,64,
34, 63,64,64,64,64,64,64,64,64,64,
35, 63,64,64,64,64,64,64,64,64,64,
36, 63,64,64,64,64,63,64,64,64,64,
37, 63,64,64,64,64,63,64,64,64,64,
38, 63,64,64,64,64,63,64,64,64,64,
39, 63,64,64,64,64,63,64,64,64,64,
40, 63,64,64,64,64,63,64,64,64,64,
41, 63,64,64,64,64,63,64,64,64,64,
42, 63,64,64,64,64,63,64,64,64,64,
43, 63,64,64,64,64,63,64,64,64,64,
44, 63,64,64,64,64,63,64,64,64,64,
45, 63,64,64,64,64,63,64,64,64,64,
46, 63,64,64,64,64,63,64,64,64,64,
47, 63,64,64,64,64,63,64,64,64,64,
48, 63,64,64,64,64,63,64,64,64,64,
49, 63,64,64,64,64,63,64,64,64,64,
50, 63,64,64,64,64,63,64,64,64,64,
51, 63,64,64,64,64,63,64,64,64,64,
52, 63,64,64,64,64,63,64,64,64,64,
53, 63,64,64,64,64,63,64,64,64,64,
54, 63,64,64,64,64,63,64,64,64,64,
55, 63,64,64,64,64,63,64,64,64,64,
56, 63,64,64,64,64,63,64,64,64,64,
57, 63,64,64,64,64,63,64,64,64,64,
58, 63,64,64,64,64,63,64,64,64,64,
59, 63,64,64,64,64,63,64,64,64,64,
60, 63,64,64,64,64,63,64,64,64,64,
61, 63,64,64,64,64,63,64,64,64,64,
62, 63,64,64,64,64,63,64,64,64,64,
63, 63,64,64,64,64,63,64,64,64,64,
64, 63,64,64,64,64,63,64,64,64,64,
65, 63,64,64,64,64,63,64,64,64,64,
66, 63,64,64,64,64,63,64,64,64,64,
67, 63,64,64,64,64,63,64,64,64,64,
68, 63,64,64,64,64,63,64,64,64,63,
69, 64,64,64,64,64,63,64,64,64,63,
70, 64,64,64,64,64,63,64,64,64,63,
71, 64,64,64,64,64,63,64,64,64,63,
72, 64,64,64,64,64,63,64,64,64,63,
73, 64,64,64,64,64,63,64,64,64,63,
74, 64,64,64,64,64,63,64,64,64,63,
75, 64,64,64,64,64,63,64,64,64,63,
76, 64,64,64,64,64,63,64,64,64,63,
77, 64,64,64,64,64,63,64,64,64,63,
78, 64,64,64,64,64,63,64,64,64,63,
79, 64,64,64,64,64,63,64,64,64,63,
80, 64,64,64,64,64,63,64,64,64,63,
81, 64,64,64,64,64,63,64,64,64,63,
82, 64,64,64,64,64,63,64,64,64,63,
83, 64,64,64,64,64,63,64,64,64,63,
84, 64,64,64,64,64,63,64,64,64,63,
85, 64,64,64,64,64,63,64,64,64,63,
86, 64,64,64,64,64,63,64,64,64,63,
87, 64,64,64,64,64,63,64,64,64,63,
88, 64,64,64,64,64,63,64,64,64,63,
89, 64,64,64,64,64,63,64,64,64,63,
90, 64,64,64,64,64,63,64,64,64,63,
91, 64,64,64,64,64,63,64,64,64,63,
92, 64,64,64,64,64,63,64,64,64,63,
93, 64,64,64,64,64,63,64,64,64,63,
94, 64,64,64,64,64,63,64,64,64,63,
95, 64,64,64,64,64,63,64,64,64,63,
96, 64,64,64,64,64,63,64,64,64,63,
97, 64,64,64,64,64,63,64,64,64,63,
98, 64,64,64,64,64,63,64,64,64,63,
99, 64,64,64,64,64,64,64,64,64,63,
100, 64,64,64,64,64,64,64,64,64,63,
101, 64,64,64,64,64,64,64,64,64,63,
102, 64,64,64,64,64,64,64,64,64,63,
103, 64,64,64,64,64,64,64,64,64,63,
104, 64,64,64,64,64,64,64,64,64,63,
105, 64,64,64,64,64,64,64,64,64,63,
106, 64,64,64,64,64,64,64,64,64,63,
107, 64,64,64,64,64,64,64,64,64,63,
108, 64,64,64,64,64,64,64,64,64,63,
109, 64,64,64,64,64,64,64,64,64,63,
110, 64,64,64,64,64,64,64,64,64,63,
111, 64,64,64,64,64,64,64,64,64,63,
112, 64,64,64,64,64,64,64,64,64,63,
113, 64,64,64,64,64,64,64,64,64,63,
114, 64,64,64,64,64,64,64,64,64,63,
115, 64,64,64,64,64,64,64,64,64,63,
116, 64,64,64,64,64,64,64,64,64,63,
117, 64,64,64,64,64,64,64,64,64,63,
118, 64,64,64,64,64,64,64,64,64,63,
119, 64,64,64,64,64,64,64,64,64,63,
120, 64,64,64,64,64,64,64,64,64,63,
121, 64,64,64,64,64,64,64,64,64,63,
122, 64,64,64,64,64,64,64,64,64,63,
123, 64,64,64,64,64,64,64,64,64,63,
124, 64,64,64,64,64,64,64,64,64,63,
125, 64,64,64,64,64,64,64,64,64,63,
126, 64,64,64,64,64,64,64,64,64,63,
127, 64,64,64,64,64,64,64,64,64,63,
128, 64,64,64,64,64,64,64,64,64,63,
129, 64,64,64,64,64,64,64,64,64,63,
130, 64,64,64,64,64,64,64,64,64,63,
131, 64,64,64,64,64,64,65,64,64,64,
132, 64,64,64,64,64,64,65,64,64,64,
133, 64,64,64,64,64,64,65,64,64,64,
134, 64,64,64,64,64,64,65,64,64,64,
135, 64,64,64,64,64,64,65,64,64,64,
136, 64,64,64,64,64,64,65,64,64,64,
137, 64,64,64,64,64,64,65,64,64,64,
138, 64,64,64,64,64,64,65,64,64,64,
139, 64,64,64,64,64,64,65,64,64,64,
140, 64,64,64,64,64,64,65,64,64,64,
141, 64,64,64,64,64,64,65,64,64,64,
142, 64,64,64,64,64,64,65,64,64,64,
143, 64,64,64,64,64,64,65,64,64,64,
144, 64,64,64,64,64,64,65,64,64,64,
145, 64,64,64,64,64,64,65,64,64,64,
146, 64,64,64,64,64,64,65,64,64,64,
147, 64,64,64,64,64,64,65,64,64,64,
148, 64,64,64,64,64,64,65,64,64,64,
149, 64,64,64,64,64,64,65,64,64,64,
150, 64,64,64,64,64,64,65,64,64,64,
151, 64,64,64,64,64,64,65,64,64,64,
152, 64,64,64,64,64,64,65,64,64,64,
153, 64,64,64,64,64,64,65,64,64,64,
154, 64,64,64,64,64,64,65,64,64,64,
155, 64,64,64,64,64,64,65,64,64,64,
156, 64,64,64,64,64,64,65,64,64,64,
157, 64,64,64,64,64,64,65,64,64,64,
158, 64,64,64,64,64,64,65,64,64,64,
159, 64,64,64,64,64,64,65,64,64,64,
160, 64,64,64,64,64,64,65,64,64,64,
161, 64,64,64,64,64,64,65,64,64,64,
162, 64,64,64,64,64,64,65,64,64,64,
163, 64,64,64,64,64,64,65,64,64,64,
164, 64,64,64,64,64,64,65,64,64,64,
165, 64,64,64,64,64,64,65,64,64,64,
166, 64,64,64,64,64,64,65,64,64,64,
167, 64,64,63,64,64,64,65,64,64,64,
168, 64,64,63,64,64,64,65,64,64,64,
169, 64,64,63,64,64,64,65,64,64,64,
170, 64,64,63,64,64,64,65,64,64,64,
171, 64,64,63,64,64,64,65,64,64,64,
172, 64,64,63,64,64,64,65,64,64,64,
173, 64,64,63,64,64,64,65,64,64,64,
174, 64,64,63,64,64,64,65,64,64,64,
175, 64,64,63,64,64,64,65,64,64,64,
176, 64,64,63,64,64,64,65,64,64,64,
177, 64,64,63,64,64,64,65,64,64,64,
178, 64,64,63,64,64,64,65,64,64,64,
179, 64,64,63,64,64,64,65,64,64,64,
180, 64,64,63,64,64,64,65,64,64,64,
181, 64,64,63,64,64,64,65,64,64,64,
