0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
1, R0,11,10,9,9,10,9,7,10,7,
2, 8,11,10,9,9,10,9,7,10,7,
3, 8,11,10,9,9,10,9,7,10,7,
4, 8,11,10,9,9,10,9,7,10,7,
5, 8,11,10,9,9,10,9,7,10,7,
6, 8,11,10,9,9,10,9,7,10,7,
7, 8,11,10,9,9,10,9,7,10,7,
8, 8,11,10,9,9,10,9,7,10,7,
9, 8,11,10,9,9,10,9,7,10,7,
10, 8,11,10,9,9,10,9,7,10,7,
11, 8,11,10,9,9,10,9,7,10,7,
12, 8,11,10,9,9,10,9,7,10,7,
13, 8,11,10,9,9,10,9,7,10,7,
14, 8,11,10,9,9,10,9,7,10,7,
15, 8,11,10,9,9,10,9,7,10,7,
16, 8,11,10,9,9,10,9,7,10,7,
17, 8,11,10,9,9,10,9,7,10,7,
18, 8,11,10,9,9,10,9,7,10,7,
19, 8,11,10,9,9,10,9,7,10,7,
20, 8,11,10,9,9,10,9,7,10,7,
21, 8,11,10,9,9,10,9,7,10,7,
22, 8,11,10,9,9,10,9,7,10,7,
23, 8,11,10,9,9,10,9,7,10,7,
24, 8,11,10,9,9,10,9,7,10,7,
25, 8,11,10,9,9,10,9,7,10,7,
26, 8,11,10,9,9,10,9,7,10,7,
27, 8,11,10,9,9,10,9,7,10,7,
28, 8,11,10,9,9,10,9,7,10,7,
29, 8,11,10,9,9,10,9,7,10,7,
30, 8,11,10,9,9,10,9,7,10,7,
31, 8,11,10,9,9,10,9,7,10,7,
32, 8,11,10,9,9,10,9,7,10,7,
33, 8,11,10,9,9,10,9,7,10,7,
34, 8,11,10,9,9,10,9,7,10,7,
35, 8,11,10,9,9,10,9,7,10,7,
36, 8,9,10,9,9,10,9,7,10,7,
37, 8,9,10,9,9,10,9,7,10,7,
38, 8,9,10,9,9,10,9,7,10,7,
39, 8,9,10,9,9,10,9,7,10,7,
40, 8,9,10,9,9,10,9,7,10,7,
41, 8,9,10,9,9,10,9,7,10,7,
42, 8,9,10,9,9,10,9,7,10,7,
43, 8,9,10,9,9,10,9,7,10,7,
44, 8,9,10,9,9,10,9,7,10,7,
45, 8,9,10,9,9,10,9,7,10,7,
46, 8,9,10,9,9,10,9,7,10,7,
47, 8,9,10,9,9,10,9,7,10,7,
48, 8,9,10,9,9,10,8,7,10,7,
49, 8,9,10,9,9,10,8,7,10,7,
50, 8,9,10,9,9,10,8,7,10,7,
51, 8,9,10,9,9,10,8,7,10,7,
52, 8,9,10,9,9,10,8,7,10,7,
53, 8,9,10,9,9,10,8,7,10,7,
54, 8,9,10,9,9,10,8,7,10,7,
55, 8,9,10,9,9,10,8,7,10,7,
56, 8,9,10,9,9,10,8,7,10,7,
57, 8,9,10,9,9,10,8,7,10,7,
58, 8,9,10,9,9,10,8,7,10,7,
59, 8,9,10,9,9,10,8,7,10,7,
60, 8,9,10,9,9,10,8,7,10,7,
61, 8,9,10,9,9,10,8,7,10,7,
62, 8,9,10,9,9,10,8,7,10,7,
63, 8,9,10,9,9,10,8,7,10,7,
64, 8,9,10,9,9,10,8,7,10,7,
65, 8,9,10,9,9,10,8,7,10,7,
66, 8,9,10,9,9,10,8,7,10,7,
67, 8,9,10,9,9,10,8,7,10,7,
68, 8,9,7,9,9,10,8,7,10,7,
69, 8,9,7,9,9,10,8,7,10,7,
70, 8,9,7,9,9,10,8,7,10,7,
71, 8,9,7,9,9,10,8,7,10,7,
72, 8,9,7,9,9,10,8,7,10,7,
73, 8,9,7,9,9,10,8,7,10,7,
74, 8,9,7,9,9,10,8,7,10,7,
75, 8,9,7,9,9,10,8,7,10,7,
76, 8,9,7,9,9,10,8,7,10,7,
77, 8,9,7,9,9,10,8,7,10,7,
78, 8,9,7,9,9,10,8,7,10,7,
79, 8,9,7,9,9,10,8,7,10,7,
80, 8,9,7,9,9,10,8,10,10,7,
81, 8,9,7,9,9,10,8,10,10,7,
82, 8,9,7,9,9,10,8,10,10,7,
83, 8,9,7,9,9,10,8,10,10,7,
84, 8,9,7,9,9,10,8,10,10,7,
85, 8,9,7,9,9,10,8,10,10,7,
86, 8,9,7,9,9,10,8,10,10,7,
87, 8,9,7,9,9,10,8,10,10,7,
88, 8,9,7,9,9,10,8,10,10,7,
89, 8,9,7,9,9,10,8,10,10,7,
90, 8,9,7,9,9,10,8,10,10,7,
91, 8,9,7,10,11,10,8,10,10,10,
92, 10,9,7,10,11,10,8,10,10,10,
93, 10,9,7,10,11,10,8,10,10,10,
94, 10,9,7,10,11,10,8,10,10,10,
95, 10,9,7,10,11,10,8,10,10,10,
96, 10,9,7,10,11,10,8,10,10,10,
97, 10,9,7,10,11,10,8,10,10,10,
98, 10,9,7,10,11,10,8,10,10,10,
99, 10,9,7,10,11,9,8,10,8,10,
100, 10,9,7,10,11,9,8,10,8,10,
101, 10,9,7,10,11,9,8,10,8,10,
102, 10,9,7,10,11,9,8,10,8,10,
103, 10,9,7,10,11,9,8,10,8,10,
104, 10,9,7,10,11,9,8,10,8,10,
105, 10,9,7,10,11,9,8,10,8,10,
106, 10,9,7,10,11,9,8,10,8,10,
107, 10,9,7,10,11,9,8,10,8,10,
108, 10,9,7,10,11,9,8,10,8,10,
109, 10,9,7,10,11,9,8,10,8,10,
110, 10,9,7,10,11,9,8,10,8,10,
111, 10,9,7,10,11,9,8,10,8,10,
112, 10,9,7,10,11,9,8,10,8,10,
113, 10,9,7,10,11,9,8,10,8,10,
114, 10,9,7,10,11,9,8,10,8,10,
115, 10,9,7,10,11,9,8,10,8,10,
116, 10,9,7,10,11,9,8,10,8,10,
117, 10,9,7,10,11,9,8,10,8,10,
118, 10,9,7,10,11,9,8,10,8,10,
119, 10,9,7,10,11,9,8,10,8,10,
120, 10,9,7,10,11,9,8,9,8,10,
121, 10,9,7,10,11,9,8,9,8,10,
122, 10,9,7,10,11,9,8,9,8,10,
123, 10,9,7,10,11,9,8,9,8,10,
124, 9,9,7,10,11,9,8,9,8,10,
125, 9,9,7,10,11,9,8,9,8,10,
126, 9,9,7,10,11,9,8,9,8,10,
127, 9,9,7,10,11,9,8,9,8,10,
128, 9,9,7,10,11,9,8,9,8,10,
129, 9,9,7,10,11,9,8,9,8,10,
130, 9,9,7,10,11,9,8,9,8,10,
131, 9,9,7,10,11,9,8,9,8,10,
132, 9,9,7,10,11,9,8,9,8,10,
133, 9,9,7,10,11,9,8,9,8,10,
134, 9,9,7,10,11,9,8,9,8,10,
135, 9,9,7,10,11,9,8,9,8,10,
136, 9,9,7,10,11,9,8,9,8,10,
137, 9,9,7,10,11,9,8,9,8,10,
138, 9,9,7,10,11,9,8,9,8,10,
139, 9,9,7,10,11,9,8,9,8,10,
140, 9,9,7,10,11,9,8,9,8,10,
141, 9,9,7,10,11,9,8,9,8,10,
142, 9,9,7,10,11,9,8,9,11,10,
143, 9,9,7,10,11,9,8,9,11,10,
144, 9,9,7,10,11,9,8,9,11,10,
145, 9,9,7,10,11,9,8,9,11,10,
146, 9,9,7,10,11,9,8,9,11,10,
147, 9,9,7,10,11,9,8,9,11,10,
148, 9,9,7,10,11,9,8,9,11,10,
149, 9,9,7,10,11,9,8,9,11,10,
150, 9,9,7,10,11,9,8,9,11,10,
151, 9,9,7,10,11,9,8,9,11,10,
152, 9,9,7,10,11,9,8,9,11,10,
153, 9,9,7,10,11,9,8,9,11,10,
154, 9,9,7,10,7,9,8,9,11,10,
155, 9,9,7,10,7,9,8,9,11,10,
156, 9,9,7,10,7,9,8,9,11,10,
157, 9,9,7,10,7,9,8,9,11,10,
158, 9,9,7,10,7,9,8,9,11,10,
159, 9,9,7,10,7,9,8,9,11,10,
160, 9,9,7,10,7,9,8,9,11,10,
161, 9,9,7,10,7,9,8,9,11,10,
162, 9,9,7,10,7,9,8,9,11,10,
163, 9,9,7,10,7,9,8,9,11,10,
164, 9,9,7,10,7,9,8,9,11,10,
165, 9,9,7,10,7,9,8,9,11,10,
166, 9,9,7,10,7,9,8,9,11,10,
167, 9,9,7,10,7,9,8,9,11,10,
168, 9,9,7,10,7,9,8,9,11,10,
169, 9,9,7,10,7,9,8,9,11,10,
170, 9,9,7,10,7,9,8,9,11,10,
171, 9,9,7,10,7,9,8,9,11,10,
172, 9,9,7,10,7,9,8,9,11,10,
173, 9,9,7,10,7,9,8,9,11,10,
174, 9,9,7,10,7,9,8,9,11,10,
175, 9,9,7,10,7,9,8,9,11,10,
176, 9,9,7,10,7,9,11,9,11,10,
177, 9,9,7,10,7,9,11,9,11,10,
178, 9,9,7,10,7,9,11,9,11,10,
179, 9,9,7,10,7,9,11,9,11,10,
180, 9,9,7,10,7,9,11,9,11,10,
181, 9,9,7,10,7,9,11,9,11,10,
182, 9,9,7,10,7,9,11,9,11,10,
183, 9,9,7,10,7,9,11,9,11,10,
184, 9,9,7,10,7,11,11,9,11,10,
185, 9,9,7,10,7,11,11,9,11,10,
186, 9,9,7,10,7,11,11,9,11,9,
187, 9,9,7,10,7,11,11,9,11,9,
188, 9,9,7,10,7,11,11,9,11,9,
189, 9,9,7,10,7,11,11,9,11,9,
190, 9,9,7,10,7,11,11,9,11,9,
191, 9,9,7,10,7,11,11,9,11,9,
192, 9,9,7,10,7,11,11,9,11,9,
193, 9,9,7,10,7,11,11,9,11,9,
194, 9,9,7,10,7,11,11,9,11,9,
195, 9,9,10,10,7,11,11,9,11,9,
196, 9,9,10,10,7,11,11,9,11,9,
197, 9,9,10,10,7,11,11,9,11,9,
198, 9,9,10,10,7,11,11,9,11,9,
199, 9,9,10,10,7,11,11,9,11,9,
200, 9,9,10,10,7,11,11,9,11,9,
201, 9,9,10,10,7,11,11,9,11,9,
202, 9,9,10,10,7,11,11,9,11,9,
203, 9,9,10,10,7,11,11,9,11,9,
204, 9,9,10,10,7,11,11,9,11,9,
205, 9,9,10,10,7,11,11,9,11,9,
206, 9,9,10,10,7,11,11,9,11,9,
207, 9,9,10,10,7,11,11,9,11,9,
208, 9,9,10,10,7,11,11,9,11,9,
209, 9,9,10,10,7,11,11,9,11,9,
210, 9,9,10,10,7,11,11,9,11,9,
211, 9,9,10,10,7,11,11,9,11,9,
212, 9,9,10,10,7,11,11,9,11,9,
213, 9,9,10,10,7,11,11,9,11,9,
214, 9,9,10,10,7,11,11,9,11,9,
215, 9,9,10,10,7,11,11,9,11,9,
216, 9,9,10,10,7,11,11,9,11,9,
217, 9,9,10,10,7,11,11,9,11,9,
218, 9,9,10,10,7,11,11,9,11,9,
219, 9,9,10,10,7,11,11,9,11,9,
220, 9,9,10,10,7,11,11,9,11,9,
221, 9,9,10,10,7,11,11,9,11,9,
222, 9,9,10,10,7,11,11,9,11,9,
223, 9,9,10,10,7,11,11,9,11,9,
224, 9,9,10,10,7,11,11,9,11,9,
225, 9,9,10,10,7,11,11,9,11,9,
226, 9,9,10,10,7,11,11,9,11,9,
227, 9,9,10,10,7,11,11,9,11,9,
228, 9,9,10,10,7,11,11,9,11,9,
229, 9,9,10,10,7,11,11,9,11,9,
230, 9,9,10,10,7,11,11,9,11,9,
231, 9,9,10,10,7,11,11,9,11,9,
232, 9,9,10,10,7,11,11,9,11,9,
233, 9,9,10,10,7,11,11,9,11,9,
234, 9,9,10,10,7,11,11,9,11,9,
235, 9,9,10,10,7,11,11,9,11,9,
236, 9,9,10,10,7,11,11,9,7,9,
237, 9,9,10,10,7,11,11,9,7,9,
238, 9,9,10,10,7,11,11,9,7,9,
239, 9,9,10,10,10,11,7,9,7,9,
240, 9,9,10,10,10,11,7,9,7,9,
241, 9,9,10,10,10,11,7,9,7,9,
242, 9,9,10,10,10,11,7,9,7,9,
243, 9,9,10,10,10,11,7,9,7,9,
244, 9,9,10,10,10,11,7,9,7,9,
245, 9,9,10,10,10,11,7,9,7,9,
246, 9,9,10,10,10,11,7,9,7,9,
247, 9,9,10,10,10,10,7,9,7,9,
248, 9,9,10,10,10,10,7,10,7,9,
249, 9,11,10,8,10,10,7,10,7,9,
250, 9,11,10,8,10,10,7,10,7,9,
251, 9,11,10,8,10,10,7,10,7,9,
252, 11,11,10,8,10,10,7,10,7,9,
253, 11,11,10,8,10,10,7,10,7,9,
