0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
1, R0,10,9,9,11,10,9,11,10,10,
2, 11,10,9,9,11,10,9,11,10,10,
3, 11,10,9,9,11,10,9,11,10,10,
4, 11,10,9,9,11,10,9,11,10,10,
5, 11,10,9,9,11,10,9,11,10,10,
6, 11,10,9,9,11,10,9,11,10,10,
7, 11,10,9,9,11,10,9,11,10,10,
8, 11,10,9,9,11,10,9,11,10,10,
9, 11,10,9,9,11,10,9,11,10,10,
10, 11,10,9,9,11,10,9,11,10,10,
11, 11,10,9,9,11,10,9,11,10,10,
12, 11,10,9,9,11,10,9,11,10,10,
13, 11,10,9,9,11,10,9,11,10,10,
14, 11,10,9,9,11,10,9,11,10,10,
15, 11,10,9,9,11,10,9,11,10,10,
16, 11,10,9,9,11,10,9,11,10,10,
17, 11,10,9,9,11,10,9,11,10,10,
18, 11,10,9,9,11,10,9,11,10,10,
19, 11,10,9,9,11,10,9,11,10,10,
20, 11,10,9,9,11,10,9,11,10,10,
21, 11,10,9,9,11,10,9,11,10,10,
22, 11,10,9,9,11,10,9,11,10,10,
23, 11,10,9,9,11,10,9,11,10,10,
24, 11,10,9,9,11,10,9,11,10,10,
25, 11,10,9,9,11,10,9,11,10,10,
26, 11,10,9,9,11,10,9,11,10,10,
27, 11,10,9,9,11,10,9,11,10,10,
28, 11,10,9,9,11,10,9,11,10,10,
29, 11,10,9,9,11,10,9,11,10,10,
30, 11,10,9,9,11,10,9,11,10,10,
31, 11,10,9,9,11,10,9,11,10,10,
32, 11,10,9,9,11,10,9,11,10,10,
33, 11,10,9,9,11,10,9,11,10,10,
34, 11,10,9,9,11,10,9,11,10,10,
35, 11,10,9,9,11,10,9,11,10,10,
36, 11,7,9,9,10,10,9,7,10,10,
37, 11,7,9,9,10,10,9,7,10,10,
38, 11,7,9,9,10,10,9,7,10,10,
39, 11,7,9,9,10,10,9,7,10,10,
40, 11,7,9,9,10,10,9,7,10,10,
41, 11,7,9,9,10,10,9,7,10,10,
42, 11,7,9,9,10,10,9,7,10,10,
43, 11,7,9,9,10,10,9,7,10,10,
44, 11,7,9,9,10,10,9,7,10,10,
45, 11,7,9,9,10,10,9,7,10,10,
46, 11,7,9,9,10,10,9,7,10,10,
47, 11,7,9,9,10,10,9,7,10,10,
48, 11,7,9,9,10,10,9,7,10,10,
49, 11,7,10,9,10,10,9,7,10,10,
50, 11,7,10,9,10,10,9,7,10,10,
51, 11,7,10,9,10,10,9,7,10,10,
52, 11,7,10,9,10,10,9,7,10,10,
53, 11,7,10,9,10,10,9,7,10,10,
54, 11,7,10,9,10,10,9,7,10,10,
55, 11,7,10,9,10,10,9,7,10,10,
56, 11,7,10,9,10,10,9,7,10,10,
57, 11,7,10,9,10,10,9,7,10,10,
58, 11,7,10,9,10,10,9,7,10,10,
59, 11,7,10,9,10,10,9,7,10,10,
60, 11,7,10,9,10,10,9,7,10,10,
61, 11,7,10,9,10,10,9,7,10,10,
62, 11,7,10,9,10,10,9,7,10,10,
63, 11,7,10,9,10,10,9,7,10,10,
64, 11,7,10,9,10,10,9,7,10,10,
65, 11,7,10,9,10,10,9,7,10,10,
66, 11,7,10,9,10,10,9,7,10,10,
67, 11,7,10,9,10,10,9,7,10,10,
68, 11,7,10,9,10,8,9,7,10,9,
69, 9,7,10,9,10,8,9,7,10,9,
70, 9,7,10,9,10,8,9,7,10,9,
71, 9,7,10,9,10,8,9,7,10,9,
72, 9,7,10,9,10,8,9,7,10,9,
73, 9,7,10,9,10,8,9,7,10,9,
74, 9,7,10,9,10,8,9,7,10,9,
75, 9,7,10,9,10,8,9,7,10,9,
76, 9,7,10,9,10,8,9,7,10,9,
77, 9,7,10,9,10,8,9,7,10,9,
78, 9,7,10,9,10,8,9,7,10,9,
79, 9,7,10,9,10,8,9,7,10,9,
80, 9,7,10,9,10,8,9,7,10,9,
81, 9,7,10,9,10,8,9,7,10,9,
82, 9,7,10,9,10,8,9,7,10,9,
83, 9,7,10,9,10,8,9,7,10,9,
84, 9,7,10,9,10,8,9,7,10,9,
85, 9,7,10,9,10,8,9,7,10,9,
86, 9,7,10,9,10,8,9,7,10,9,
87, 9,7,10,9,10,8,9,7,10,9,
88, 9,7,10,9,10,8,9,7,10,9,
89, 9,7,10,9,10,8,9,7,10,9,
90, 9,7,10,9,10,8,9,7,10,9,
91, 9,7,10,9,10,8,8,7,10,9,
92, 9,7,10,9,10,8,8,7,10,9,
93, 9,7,10,9,10,8,8,7,10,9,
94, 9,7,10,9,10,8,8,7,10,9,
95, 9,7,10,9,10,8,8,7,10,9,
96, 9,7,10,9,10,8,8,7,10,9,
97, 9,7,10,9,10,8,8,7,10,9,
98, 9,7,10,9,10,8,8,7,10,9,
99, 9,7,10,9,6,8,8,7,11,9,
100, 9,7,10,9,6,8,8,7,11,9,
101, 9,7,10,9,6,8,8,7,11,9,
102, 9,7,10,9,6,8,8,7,11,9,
103, 9,7,10,9,6,8,8,7,11,9,
104, 9,7,10,9,6,8,8,7,11,9,
105, 9,7,10,9,6,8,8,7,11,9,
106, 9,7,10,9,6,8,8,7,11,9,
107, 9,7,10,9,6,8,8,7,11,9,
108, 9,7,10,9,6,8,8,7,11,9,
109, 9,7,10,9,6,8,8,7,11,9,
110, 9,7,10,9,6,8,8,7,11,9,
111, 11,7,10,9,6,8,8,7,11,9,
112, 11,7,10,9,6,8,8,7,11,9,
113, 11,7,10,9,6,8,8,7,11,9,
114, 11,7,10,9,6,8,8,7,11,9,
115, 11,7,10,9,6,8,8,7,11,9,
116, 11,7,10,9,6,8,8,7,11,9,
117, 11,7,10,9,6,8,8,7,11,9,
118, 11,7,10,9,6,8,8,7,11,9,
119, 11,7,10,9,6,8,8,7,11,9,
120, 11,7,10,9,6,8,8,7,11,9,
121, 11,7,10,9,6,8,8,11,11,9,
122, 11,7,10,9,6,8,8,11,11,9,
123, 11,7,10,9,6,8,8,11,11,9,
124, 11,7,10,9,6,8,8,11,11,9,
125, 11,7,10,9,6,8,8,11,11,9,
126, 11,7,10,9,6,8,8,11,11,9,
127, 11,7,10,9,6,8,8,11,11,9,
128, 11,7,10,9,6,8,8,11,11,9,
129, 11,7,10,9,6,8,8,11,11,9,
130, 11,7,10,9,6,8,8,11,11,9,
131, 11,7,10,9,6,8,8,11,11,9,
132, 11,7,10,9,6,8,8,11,11,9,
133, 11,7,10,9,6,8,8,11,7,9,
134, 11,7,10,9,6,8,8,11,7,9,
135, 11,7,10,9,6,8,8,11,7,9,
136, 11,7,10,9,6,8,8,11,7,9,
137, 11,7,10,9,6,8,8,11,7,9,
138, 11,7,10,9,6,8,8,11,7,9,
139, 11,7,10,9,6,8,8,11,7,9,
140, 11,7,10,9,6,8,8,11,7,9,
141, 11,7,10,9,6,8,8,11,7,9,
142, 11,7,10,9,6,8,8,11,7,9,
143, 11,7,11,9,6,8,8,11,7,9,
144, 11,7,11,9,6,8,8,11,7,9,
